100 3
55 94 78
27 8 36
26 26 85
19 88 58
54 32 84
21 89 89
84 25 3
18 81 99
83 57 17
55 83 71
45 36 13
72 50 51
59 24 7
90 84 82
35 21 70
69 51 7
11 99 83
77 32 46
83 63 87
100 19 12
97 11 83
18 29 47
0 17 73
19 57 59
98 90 36
4 72 14
50 72 38
70 16 51
21 38 74
92 38 14
53 31 20
59 42 92
68 69 99
17 50 39
64 11 70
96 5 87
94 55 81
18 68 6
79 54 51
0 68 15
52 55 11
83 74 7
32 21 41
43 12 27
70 13 16
9 66 94
85 92 16
17 10 41
42 39 44
77 3 3
40 28 2
99 74 33
90 19 20
77 37 53
69 61 13
47 43 68
23 14 1
26 87 3
85 50 39
31 89 41
4 68 27
71 6 81
82 9 96
30 92 98
95 98 24
13 69 92
88 75 84
94 53 96
74 80 47
40 29 99
65 83 69
20 57 49
37 45 7
84 57 84
94 93 0
26 66 97
95 4 55
5 43 33
7 24 3
16 87 17
41 3 87
36 86 77
55 33 0
79 100 31
85 89 43
89 19 72
77 84 48
74 75 49
58 53 64
4 12 80
69 49 77
63 43 68
61 1 60
91 88 89
97 94 84
18 99 8
61 32 44
45 68 86
4 95 80
74 32 43
