Launching parallel algorithm...
PROCESS:0 DMIN:443.394858
PROCESS:51 DMIN:1.732051
PROCESS:63 DMIN:2.236068
PROCESS:31 DMIN:3.872983
PROCESS:6 DMIN:2.449490
PROCESS:10 DMIN:3.316625
PROCESS:26 DMIN:3.872983
PROCESS:9 DMIN:3.162278
PROCESS:41 DMIN:3.872983
PROCESS:42 DMIN:3.872983
PROCESS:29 DMIN:1.732051
PROCESS:50 DMIN:3.162278
PROCESS:40 DMIN:2.449490
PROCESS:45 DMIN:2.449490
PROCESS:23 DMIN:3.464102
PROCESS:44 DMIN:2.645751
PROCESS:12 DMIN:3.741657
PROCESS:2 DMIN:3.741657
PROCESS:43 DMIN:3.872983
PROCESS:8 DMIN:3.741657
PROCESS:17 DMIN:3.316625
PROCESS:20 DMIN:3.605551
PROCESS:5 DMIN:3.464102
PROCESS:34 DMIN:4.000000
PROCESS:33 DMIN:3.605551
PROCESS:38 DMIN:4.795832
PROCESS:25 DMIN:4.242641
PROCESS:46 DMIN:3.162278
PROCESS:4 DMIN:3.872983
PROCESS:21 DMIN:3.000000
PROCESS:32 DMIN:3.464102
PROCESS:22 DMIN:4.582576
PROCESS:48 DMIN:4.000000
PROCESS:36 DMIN:2.645751
PROCESS:11 DMIN:3.162278
PROCESS:19 DMIN:3.605551
PROCESS:54 DMIN:4.358899
PROCESS:58 DMIN:4.242641
PROCESS:37 DMIN:2.236068
PROCESS:13 DMIN:3.741657
PROCESS:16 DMIN:4.898979
PROCESS:35 DMIN:3.872983
PROCESS:24 DMIN:4.898979
PROCESS:7 DMIN:3.162278
PROCESS:27 DMIN:3.872983
PROCESS:57 DMIN:4.472136
PROCESS:49 DMIN:4.242641
PROCESS:56 DMIN:3.872983
PROCESS:53 DMIN:4.123106
PROCESS:55 DMIN:4.358899
PROCESS:60 DMIN:4.582576
PROCESS:61 DMIN:3.872983
PROCESS:15 DMIN:4.898979
PROCESS:47 DMIN:4.242641
PROCESS:30 DMIN:5.000000
PROCESS:59 DMIN:5.000000
PROCESS:3 DMIN:4.898979
PROCESS:14 DMIN:4.123106
PROCESS:52 DMIN:5.567764
PROCESS:28 DMIN:5.196152
PROCESS:39 DMIN:5.196152
PROCESS:62 DMIN:3.741657
PROCESS:1 DMIN:5.744563
PROCESS:18 DMIN:5.196152
---GLOBAL DMIN: 1.732051
---NEW GLOBAL DMIN: 1.732051
(-213, 539, -133, 205, 697)(-213, 539, -134, 204, 696)
(1477, -1456, -113, -564, 1555)(1478, -1455, -114, -564, 1555)
Found a total of 2 pairs of points with DMIN=1.732051
Memory free
Time elapsed: 918.730000
